RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
3569;20150316;Kvinde;42;40-49 år;Hovedstaden;.;Uligevægt i opfattet/udført arbejde. Fornemmelse af uretfærdig fordeling af goder. Krævementalitet hos både pensionister og helt unge.;Ved ikke;Ved ikke;Ved ikke;(I) Liberal Alliance;Ved ikke;Ved ikke;Lang videregående 5 år;2 børn;500.000-599.999 kr.;;0,5671359661
3589;20150317;Mand;46;40-49 år;Nordjylland;1227;teror;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;0,9110596324
3592;20150316;Mand;47;40-49 år;Syddanmark;201;Tolerance og integration;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;1.000.000 kr. eller derover;Radikale Venstre;1,6275185134
3603;20150316;Mand;35;30-39 år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,4705101194
3616;20150316;Kvinde;45;40-49 år;Syddanmark;900;indvandring;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Dansk Folkeparti;0,8711385120
3620;20150316;Mand;33;30-39 år;Syddanmark;500;Manglende modernisering af arbejdsmarkedet.;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(F) Socialistisk Folkeparti - SF;;Grundskole;Ingen;200.000-299.999 kr.;Socialistisk Folkeparti - SF;2,1262232483
3621;20150316;Kvinde;48;40-49 år;Nordjylland;505;Social dumping;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;2 børn;500.000-599.999 kr.;Socialdemokraterne;0,5504706334
3623;20150316;Kvinde;29;18-29 år;Sjælland;.;Tjaaa;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Ved ikke;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Grundskole;Ingen;300.000-399.999 kr.;Enhedslisten;2,8626170016
3625;20150316;Mand;49;40-49 år;Hovedstaden;107;For høje skatter;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Kort videregående 1-2 år;Ingen;Vil ikke oplyse;Venstre;0,5558309340
3630;20150316;Kvinde;48;40-49 år;Syddanmark;900;Integration;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Gymnasie, HF eller lignende;Ingen;600.000-699.999 kr.;Venstre;1,0731127235
3634;20150316;Mand;28;18-29 år;Syddanmark;505;Løndumping;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Socialdemokraterne;1,3098197448
3663;20150317;Kvinde;43;40-49 år;Hovedstaden;201;racisme;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,2465543624
3669;20150316;Mand;40;40-49 år;Sjælland;1806;konkurrence evnen overfor udlandet;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;Ved ikke;Ved ikke;Lang videregående 5 år;Ingen;1.000.000 kr. eller derover;;0,4855348466
3673;20150316;Kvinde;46;40-49 år;Hovedstaden;2400;At vi er et fællesskab;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Lang videregående 5 år;Ingen;200.000-299.999 kr.;Radikale Venstre;1,2021034390
3677;20150316;Mand;49;40-49 år;Hovedstaden;900;flygtninge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;800.000-899.999 kr.;Socialdemokraterne;1,0314755278
3685;20150316;Mand;49;40-49 år;Midtjylland;2400;Folks egocentraliserede mentalitet, der ligger hindringer i vejen for at fællesskabet (læs samfundet) kan fungere;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;Ved ikke;Ved ikke;Grundskole;Ingen;200.000-299.999 kr.;;1,0722901114
3687;20150316;Mand;49;40-49 år;Midtjylland;.;ved ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Vil ikke svare;Vil ikke svare;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;;1,2588290253
3693;20150316;Mand;29;18-29 år;Midtjylland;200;Demokratisk underskud;Venstre ledet regering;Venstre ledet regering;Ved ikke;(I) Liberal Alliance;(C) Konservative Folkeparti;;Lang videregående 5 år;Ingen;Under 100.000 kr.;Konservative Folkeparti;1,0203919498
3700;20150316;Mand;49;40-49 år;Syddanmark;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;Socialdemokraterne;0,7796660771
3731;20150316;Mand;39;30-39 år;Hovedstaden;100;økonomi;Venstre ledet regering;Venstre ledet regering;Ved ikke;(B) Radikale Venstre;(B) Radikale Venstre;;Lang videregående 5 år;Ingen;900.000-999.999 kr.;Radikale Venstre;1,4180735860
3733;20150316;Kvinde;26;18-29 år;Midtjylland;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Mellemlang videregående 3-4 år;2 børn;Vil ikke oplyse;Socialistisk Folkeparti - SF;1,3463716803
3748;20150316;Kvinde;22;18-29 år;Midtjylland;2099;Politikerne;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;Ved ikke;Ved ikke;Grundskole;Ingen;Vil ikke oplyse;;2,1770452636
3754;20150316;Mand;28;18-29 år;Midtjylland;.;Ved ikke;Venstre ledet regering;Ved ikke;Ved ikke;(C) Konservative Folkeparti;(O) Dansk Folkeparti;;Lang videregående 5 år;4 børn ++;300.000-399.999 kr.;Dansk Folkeparti;0,6125598657
3755;20150317;Mand;43;40-49 år;Syddanmark;300;syghusvæsent, arbejdspladser forsvinder til udlandet, vi er ikke konkurrencedygtige nok;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;Venstre;1,0937708612
3778;20150316;Mand;30;30-39 år;Hovedstaden;709;Natur bevarelse;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Grundskole;Ingen;Under 100.000 kr.;Enhedslisten;1,9428180265
3792;20150317;Mand;38;30-39 år;Syddanmark;900;udlændinge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;1 barn;300.000-399.999 kr.;Dansk Folkeparti;1,3106521542
3805;20150316;Kvinde;31;30-39 år;Hovedstaden;705;klima;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Lang videregående 5 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,8209818149
3808;20150316;Kvinde;28;18-29 år;Hovedstaden;.;f;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(V) Venstre;;Kort videregående 1-2 år;2 børn;400.000-499.999 kr.;Venstre;1,1284899906
3815;20150316;Mand;32;30-39 år;Sjælland;507;folk med arbejdsløshed og der på vej ud af dagpenge;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;400.000-499.999 kr.;Dansk Folkeparti;1,4066290623
3818;20150316;Mand;20;18-29 år;Syddanmark;2400;Mangel på forståelse;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Vil ikke svare;Grundskole;Ingen;Ved ikke;;1,4764863336
3819;20150316;Kvinde;26;18-29 år;Midtjylland;300;Sundhedsøkonomi;Ved ikke;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Konservative Folkeparti;1,3824897879
3824;20150316;Mand;22;18-29 år;Syddanmark;709;Det stigende pres på vores natur;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Gymnasie, HF eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,0633550027
3832;20150316;Kvinde;25;18-29 år;Hovedstaden;700;miljø;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Enhedslisten;1,1235438039
3834;20150316;Mand;24;18-29 år;Nordjylland;.;Ved ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(F) Socialistisk Folkeparti - SF;;Kort videregående 1-2 år;1 barn;600.000-699.999 kr.;Socialistisk Folkeparti - SF;0,8512231745
3847;20150317;Mand;44;40-49 år;Hovedstaden;900;Integration;Ved ikke;Venstre ledet regering;Ved ikke;(V) Venstre;Ved ikke;(V) Venstre;Grundskole;2 børn;800.000-899.999 kr.;Venstre;1,8455292402
3851;20150316;Kvinde;37;30-39 år;Hovedstaden;1302;Ulighed;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(F) Socialistisk Folkeparti - SF;;Mellemlang videregående 3-4 år;2 børn;400.000-499.999 kr.;Socialistisk Folkeparti - SF;1,3804606781
3852;20150316;Mand;40;40-49 år;Syddanmark;900;manglende grænsekontrol;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Socialdemokraterne;0,4037982082
3854;20150316;Kvinde;18;18-29 år;Midtjylland;900;integration;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Havde ikke stemmeret;Ved ikke;(O) Dansk Folkeparti;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;2,0437648978
3855;20150316;Mand;30;30-39 år;Nordjylland;.;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Mellemlang videregående 3-4 år;1 barn;300.000-399.999 kr.;Socialistisk Folkeparti - SF;0,9739566017
3857;20150316;Kvinde;44;40-49 år;Syddanmark;1300;velfærden;Ved ikke;Ved ikke;Ved ikke;Vil ikke svare;Vil ikke svare;;Kort videregående 1-2 år;1 barn;Vil ikke oplyse;;0,5336874348
3858;20150316;Mand;45;40-49 år;Sjælland;507;at alf for mange mennesker, pga. de høje overførselsindkomster, mangler et reelt økonomisk incitament til at tage et arbejde.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Venstre;0,7753863436
3871;20150316;Mand;45;40-49 år;Hovedstaden;900;indvandring;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Stemte blankt;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;2 børn;900.000-999.999 kr.;Socialdemokraterne;0,5342130822
3878;20150316;Kvinde;27;18-29 år;Midtjylland;300;Fejlagtig bygning af nye sygehuse;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;700.000-799.999 kr.;Venstre;1,1232908671
