RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
4;20150312;Mand;72;70++ år;Hovedstaden;100;vækst;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Radikale Venstre;2,3022285456
6;20150313;Kvinde;69;60-69 år;Sjælland;2000;vores regering;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Vil ikke svare;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,7375925446
7;20150317;Kvinde;44;40-49 år;Sjælland;1300;misbrug af sociale ydelser som koster samfundet rigtig dyrt;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;300.000-399.999 kr.;Socialdemokraterne;1,2897229189
8;20150313;Mand;42;40-49 år;Sjælland;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;400.000-499.999 kr.;Venstre;1,4971394532
11;20150316;Mand;40;40-49 år;Syddanmark;500;At skabe job;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;4 børn ++;800.000-899.999 kr.;Venstre;0,5052887980
16;20150312;Mand;58;50-59 år;Hovedstaden;2199;At vi risikerer at få Lars Løkke Rasmussen som statsminister! Den voksende ulighed!;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Enhedslisten;0,4346631580
17;20150312;Mand;79;70++ år;Hovedstaden;.;fÅ FOLK TIL AT VIRKE DET GÆLDER ALLE, INDFØDTE OG TILFLYTTERE, INTET ER SÅ GODT SOM AT VIRKE.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Anden uddannelse;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,9843836433
22;20150312;Kvinde;32;30-39 år;Midtjylland;103;Arbejdsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Radikale Venstre;3,0067845221
23;20150314;Kvinde;38;30-39 år;Midtjylland;602;At man er ved at ødelægge den danske folkeskole, med en underfinansieret folkeskolereform;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(A) Socialdemokraterne;Ved ikke;(Ø) Enhedslisten;Mellemlang videregående 3-4 år;2 børn;800.000-899.999 kr.;Enhedslisten;0,7891202021
26;20150313;Mand;66;60-69 år;Midtjylland;100;Økonomien;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;600.000-699.999 kr.;Socialdemokraterne;0,3307462974
27;20150316;Mand;51;50-59 år;Hovedstaden;.;der mange;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(V) Venstre;;Lang videregående 5 år;Ingen;1.000.000 kr. eller derover;Venstre;0,7079427846
28;20150312;Mand;54;50-59 år;Midtjylland;1303;Vores behandling af ældre;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Socialdemokraterne;0,4682412342
32;20150316;Kvinde;63;60-69 år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;Enhedslisten;0,4102495601
35;20150312;Mand;34;30-39 år;Midtjylland;.;ved ikke;Ved ikke;Ved ikke;Ved ikke;Stemte blankt;Stemme blankt;Ved ikke;Mellemlang videregående 3-4 år;2 børn;Vil ikke oplyse;;0,5355691077
36;20150312;Mand;48;40-49 år;Syddanmark;505;løn dompimg;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(A) Socialdemokraterne;;Grundskole;1 barn;700.000-799.999 kr.;Socialdemokraterne;0,9943798439
37;20150312;Kvinde;24;18-29 år;Syddanmark;103;Arbejdsløshed;Ved ikke;Venstre ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(B) Radikale Venstre;;Gymnasie, HF eller lignende;Ingen;300.000-399.999 kr.;Radikale Venstre;2,6825515729
38;20150312;Kvinde;70;70++ år;Sjælland;900;indvandre poletik;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,2749550901
48;20150313;Kvinde;70;70++ år;Hovedstaden;900;integration;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;1,6999142330
51;20150312;Mand;56;50-59 år;Syddanmark;505;Social dumping.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;300.000-399.999 kr.;Enhedslisten;1,0908877163
54;20150315;Mand;43;40-49 år;Hovedstaden;900;flygtninge;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(O) Dansk Folkeparti;;Grundskole;Ingen;300.000-399.999 kr.;Dansk Folkeparti;1,2162669436
55;20150313;Mand;66;60-69 år;Nordjylland;505;Social dumping;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,6880673531
56;20150316;Kvinde;69;60-69 år;Syddanmark;1227;Terrortruslen;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Anden uddannelse;Ingen;Vil ikke oplyse;Socialdemokraterne;0,5158863359
58;20150312;Kvinde;70;70++ år;Midtjylland;2099;At man i vigtige problemer går efter manden i stedet for bolden - kaster med mudder i stedet for sammen at finde løsninger.;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,5713282411
64;20150312;Kvinde;71;70++ år;Sjælland;107;for højt skatteniveau;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Mellemlang videregående 3-4 år;Ingen;200.000-299.999 kr.;Konservative Folkeparti;1,0999399143
65;20150316;Mand;69;60-69 år;Syddanmark;1227;Terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(V) Venstre;;Mellemlang videregående 3-4 år;Ingen;100.000-199.999 kr.;Venstre;0,3474906188
67;20150312;Kvinde;70;70++ år;Syddanmark;103;arbejdsløsheden;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,4824086219
68;20150312;Mand;42;40-49 år;Midtjylland;1300;Alt der har med offentlige udgifter at gøre. Det virker som om at ingen forstår at det offentlige lever af skatter og afgifter, og at når alt kommer til alt kommer pengene fra den private sektor.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;Ved ikke;(I) Liberal Alliance;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;Vil ikke oplyse;Liberal Alliance (tidligere Ny Alliance);1,1854154651
69;20150312;Mand;65;60-69 år;Midtjylland;900;invandre;Venstre ledet regering;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,4841649018
72;20150312;Mand;42;40-49 år;Midtjylland;900;intigation og for lavt skattetryk;Ved ikke;Ved ikke;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;2 børn;400.000-499.999 kr.;Dansk Folkeparti;0,4087786257
76;20150312;Kvinde;40;40-49 år;Syddanmark;103;arbejdsløshed;Ved ikke;Ved ikke;Ved ikke;(F) Socialistisk Folkeparti - SF;Ved ikke;(F) Socialistisk Folkeparti - SF;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialistisk Folkeparti - SF;0,7319214794
82;20150313;Kvinde;47;40-49 år;Syddanmark;103;Arbejdsløsheden;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;Ved ikke;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;800.000-899.999 kr.;;0,9279482114
89;20150312;Mand;23;18-29 år;Hovedstaden;601;Fremdriftreformen der giver store problemer for universiteterne og de studerende.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Under 100.000 kr.;Socialistisk Folkeparti - SF;2,5990229305
93;20150315;Kvinde;31;30-39 år;Hovedstaden;705;Klima;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;Alternativet;;Lang videregående 5 år;Ingen;1.000.000 kr. eller derover;Alternativet;1,0014819077
95;20150317;Kvinde;58;50-59 år;Midtjylland;2099;At alle politiker undtagen EL politikerne stiller sig forrest i kobbel af mennesker som nedgøre og sviner,  mennesker på overførselsindkomster til, og mennesker der er hjemløse som spyttes på og hånes. Dette r et tegn på et SYGT SAMFUND, HVOR DET ENKELTE MENNESKE KUN HAR NOK I SIT EGET LIV OG ER FOR FØLELSESMÆSSIG FATTIG TIL AT HJÆLPE ANDRE I NØD, DETTE GÆLDER OGSÅ FOR ALLE PARTIERS MEDLEMMER, UNDTAGEN EL;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;400.000-499.999 kr.;Enhedslisten;1,4435434968
99;20150316;Kvinde;39;30-39 år;Hovedstaden;.;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Lang videregående 5 år;Ingen;400.000-499.999 kr.;Radikale Venstre;1,7137643445
103;20150315;Kvinde;51;50-59 år;Midtjylland;1699;få alle Syrer hjem igen;Venstre ledet regering;Ved ikke;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,2883565584
109;20150312;Mand;52;50-59 år;Midtjylland;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Gymnasie, HF eller lignende;2 børn;600.000-699.999 kr.;Socialdemokraterne;0,7339741266
112;20150312;Kvinde;60;60-69 år;Hovedstaden;100;Økonomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;Vil ikke oplyse;Venstre;0,4955684143
120;20150312;Kvinde;66;60-69 år;Syddanmark;1227;Terror;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;Ved ikke;(V) Venstre;Mellemlang videregående 3-4 år;Ingen;700.000-799.999 kr.;Venstre;0,4199479298
122;20150313;Kvinde;76;70++ år;Hovedstaden;103;De mange arbejdsløse, som ikke kan finde et job. Måske på grund af manglende uddannelse;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;Ved ikke;(A) Socialdemokraterne;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,3328562291
126;20150312;Kvinde;71;70++ år;Nordjylland;2099;Hvornår vi får valg, så der bliver arbejdet, i stedet for at holde valgkamp.;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Venstre;1,5942958569
128;20150316;Mand;56;50-59 år;Hovedstaden;100;Økonomisk vækst;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Venstre;1,5324452240
129;20150312;Kvinde;71;70++ år;Hovedstaden;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,6903016679
133;20150313;Kvinde;56;50-59 år;Hovedstaden;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Venstre;1,8519843258
141;20150312;Mand;59;50-59 år;Sjælland;103;arbejsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Stemme blankt;Ved ikke;Grundskole;Ingen;200.000-299.999 kr.;;1,2247308277
144;20150315;Mand;66;60-69 år;Sjælland;1227;terror;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,8349273303
156;20150313;Mand;43;40-49 år;Syddanmark;900;Indvandring;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Dansk Folkeparti;0,3733281063
167;20150314;Kvinde;20;18-29 år;Sjælland;900;Indvandrepolitik;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;Ved ikke;(V) Venstre;Grundskole;1 barn;Ved ikke;Venstre;3,0067845221
169;20150312;Kvinde;68;60-69 år;Nordjylland;.;ved ikke;Ved ikke;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Grundskole;Ingen;100.000-199.999 kr.;Venstre;1,1665429393
170;20150312;Kvinde;69;60-69 år;Hovedstaden;1399;Ansvar for unge og gamle.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,9016590340
178;20150312;Mand;49;40-49 år;Hovedstaden;1201;Europol, falske flygtninge, Vestlige ISIS-jihadister og arbejdsløshed.;Venstre ledet regering;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Kort videregående 1-2 år;2 børn;400.000-499.999 kr.;Dansk Folkeparti;0,3663121868
183;20150312;Kvinde;20;18-29 år;Syddanmark;1399;For få pædagoger i daginstitutionerne.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(F) Socialistisk Folkeparti - SF;;Gymnasie, HF eller lignende;Ingen;Under 100.000 kr.;Socialistisk Folkeparti - SF;1,9274322529
191;20150312;Mand;25;18-29 år;Syddanmark;1405;Ekskluderingen af udkantsdanmark;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;1,1015355548
202;20150312;Mand;66;60-69 år;Syddanmark;1303;Ældreplejen / flygtninge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Venstre;0,6709455514
207;20150314;Mand;51;50-59 år;Syddanmark;700;miljø;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(F) Socialistisk Folkeparti - SF;;Mellemlang videregående 3-4 år;2 børn;600.000-699.999 kr.;Socialistisk Folkeparti - SF;0,6413866551
208;20150313;Mand;69;60-69 år;Sjælland;900;flygtningerne;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,6052449504
217;20150316;Mand;72;70++ år;Midtjylland;2099;at de fleste af vores politikere er nogle vatnisser;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,0763357858
218;20150312;Mand;64;60-69 år;Syddanmark;100;Manglende vækst;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,3307462974
223;20150316;Kvinde;53;50-59 år;Midtjylland;100;Vækst i erhvervlivet;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;Vil ikke stemme;(V) Venstre;Grundskole;Ingen;500.000-599.999 kr.;Venstre;1,9549147854
227;20150315;Kvinde;32;30-39 år;Sjælland;.;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;Venstre ledet regering;Husker ikke;Ved ikke;Ved ikke;Kort videregående 1-2 år;1 barn;500.000-599.999 kr.;;0,6955589180
231;20150312;Mand;51;50-59 år;Hovedstaden;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;1 barn;Vil ikke oplyse;Dansk Folkeparti;1,2880626403
234;20150316;Kvinde;54;50-59 år;Nordjylland;900;Flygtninge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Venstre;1,2819505786
237;20150314;Mand;49;40-49 år;Sjælland;200;tab af national selvbestemmelse;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Kort videregående 1-2 år;Ingen;200.000-299.999 kr.;Enhedslisten;0,4246492745
238;20150313;Mand;25;18-29 år;Hovedstaden;900;Integration;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Lang videregående 5 år;Ingen;800.000-899.999 kr.;Enhedslisten;0,8292694078
239;20150312;Kvinde;68;60-69 år;Midtjylland;.;?;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,8071654561
243;20150313;Kvinde;39;30-39 år;Hovedstaden;100;Mangel på resurser;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;2 børn;500.000-599.999 kr.;Dansk Folkeparti;2,0955104848
247;20150312;Mand;24;18-29 år;Midtjylland;100;Økonomi, klima;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Gymnasie, HF eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1643291151
248;20150316;Mand;42;40-49 år;Hovedstaden;2400;neoliberalisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(Ø) Enhedslisten;;Lang videregående 5 år;Ingen;900.000-999.999 kr.;Enhedslisten;0,4936200124
264;20150313;Kvinde;71;70++ år;Sjælland;1302;fattigdom;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,5297046660
266;20150313;Kvinde;69;60-69 år;Sjælland;103;Arbejdsløshed / Flygtninge /;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Dansk Folkeparti;0,7314485223
267;20150313;Mand;59;50-59 år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;1.000.000 kr. eller derover;Socialdemokraterne;0,5657470241
268;20150313;Mand;59;50-59 år;Hovedstaden;900;invrandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;1,2880626403
272;20150313;Mand;44;40-49 år;Syddanmark;1300;Manglende velfærd;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(O) Dansk Folkeparti;Mellemlang videregående 3-4 år;1 barn;500.000-599.999 kr.;Dansk Folkeparti;0,3733281063
274;20150314;Kvinde;69;60-69 år;Syddanmark;506;ungdomsarbejdsløsheden;Ved ikke;Venstre ledet regering;Ved ikke;(V) Venstre;Ved ikke;Vil ikke svare;Vil ikke svare;Ingen;400.000-499.999 kr.;;0,5740067784
277;20150313;Mand;57;50-59 år;Midtjylland;506;Ungdomsarbejdsløshed;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Kort videregående 1-2 år;3 børn;900.000-999.999 kr.;Dansk Folkeparti;0,3307462974
278;20150314;Mand;53;50-59 år;Hovedstaden;1303;Behandling af vores ældre og muslimsk udbredelse i landet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Vil ikke svare;;Kort videregående 1-2 år;Ingen;600.000-699.999 kr.;;0,6187188229
286;20150313;Mand;62;60-69 år;Hovedstaden;1227;Terrortruslen.;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,3307462974
292;20150313;Mand;64;60-69 år;Nordjylland;900;flygtninge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;Andre partier;;Kort videregående 1-2 år;1 barn;200.000-299.999 kr.;Øvrige;0,3307462974
293;20150313;Mand;62;60-69 år;Hovedstaden;103;ledigheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Stemte blankt;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;900.000-999.999 kr.;Socialdemokraterne;0,8069813989
296;20150313;Mand;50;50-59 år;Hovedstaden;207;"Den stigende ""islamisering"" af danske daginstitutioner";Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Socialdemokraterne;1,0923620857
301;20150313;Kvinde;77;70++ år;Syddanmark;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,5217808266
302;20150313;Kvinde;77;70++ år;Sjælland;103;arbejdsløshed - indvandring;Venstre ledet regering;Venstre ledet regering;Ved ikke;Vil ikke svare;Ved ikke;Ved ikke;Kort videregående 1-2 år;Ingen;100.000-199.999 kr.;;0,5216712047
304;20150316;Mand;69;60-69 år;Syddanmark;100;Sætte gang i vkksten;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;400.000-499.999 kr.;Venstre;0,8557189856
305;20150313;Kvinde;66;60-69 år;Hovedstaden;1303;bedre forhold for ældre, utilpassede unge, ulighed ml. fattig og rig;Ved ikke;Ved ikke;Ved ikke;(B) Radikale Venstre;Ved ikke;(B) Radikale Venstre;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Radikale Venstre;0,8266949366
307;20150316;Kvinde;43;40-49 år;Sjælland;900;Indvandrer politik;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Venstre;1,8093169832
314;20150313;Mand;52;50-59 år;Hovedstaden;1804;Virksomheders udflytning;Socialdemokratisk ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(I) Liberal Alliance;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Liberal Alliance (tidligere Ny Alliance);0,7855747260
316;20150313;Kvinde;78;70++ år;Nordjylland;1302;at uligheden vokser;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Anden uddannelse;Ingen;300.000-399.999 kr.;Socialistisk Folkeparti - SF;1,5213598538
319;20150313;Mand;52;50-59 år;Nordjylland;207;At der er et stigende antal radikaliserede islamister i landet.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,0982577711
