RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
2038,20150117,Mand,68,60-69 år,Syddanmark,MRSA og ledige uden forsørgelse,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Enhedslisten,0.3351068263
2041,20150117,Mand,33,30-39 år,Hovedstaden,Økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Husker ikke,(I) Liberal Alliance,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,Vil ikke oplyse,Liberal Alliance (tidligere Ny Alliance),3.0464256936
2042,20150117,Mand,64,60-69 år,Nordjylland,Islamisering,Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,300.000-399.999 kr.,Venstre,0.9323041776
2045,20150118,Mand,56,50-59 år,Syddanmark,Forøgelse af produktion,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,700.000-799.999 kr.,Venstre,1.0141156728
2048,20150117,Kvinde,53,50-59 år,Sjælland,"flygtninge, hvor mange skal vi tage i mod?. Når der er så besparelser på ældre og børn. Hvad med vores syge, der spares også.",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Dansk Folkeparti,0.7571311751
2049,20150117,Mand,59,50-59 år,Syddanmark,ledighed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Vil ikke svare,(F) Socialistisk Folkeparti - SF,,Grundskole,Ingen,600.000-699.999 kr.,Socialistisk Folkeparti - SF,1.5123965436
2051,20150117,Mand,84,70 år ++,Hovedstaden,manglende vækst,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,800.000-899.999 kr.,Dansk Folkeparti,0.7601937223
2052,20150117,Mand,65,60-69 år,Sjælland,beskæftigelsen,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Stemte blankt,Stemme blankt,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,,0.4754372394
2054,20150117,Kvinde,75,70 år ++,Midtjylland,"At det er svært, at tro på vore politikere",Socialdemokratisk ledet regering,Ved ikke,Ved ikke,(V) Venstre,(A) Socialdemokraterne,,Lang videregående 5 år,Ingen,Vil ikke oplyse,Socialdemokraterne,0.4669173019
2055,20150117,Kvinde,60,60-69 år,Hovedstaden,mangel på arbejde,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(A) Socialdemokraterne,,Grundskole,Ingen,200.000-299.999 kr.,Socialdemokraterne,1.0996868657
