RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
3,20150116,Kvinde,70,70 år ++,Syddanmark,integration,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Gymnasie, HF eller lignende",Ingen,Vil ikke oplyse,Socialdemokraterne,0.9538203299
7,20150116,Mand,65,60-69 år,Syddanmark,manglende job,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,300.000-399.999 kr.,Socialdemokraterne,0.7265024952
10,20150115,Mand,73,70 år ++,Midtjylland,indvandre,Venstre ledet regering,Socialdemokratisk ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.7292237305
12,20150118,Kvinde,75,70 år ++,Hovedstaden,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.7046916973
14,20150115,Mand,74,70 år ++,Syddanmark,indvandring og flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(A) Socialdemokraterne,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.6328451924
18,20150117,Kvinde,55,50-59 år,Nordjylland,ved ikke,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(V) Venstre,,Vil ikke svare,Ingen,Vil ikke oplyse,Venstre,1.1675486940
20,20150115,Mand,66,60-69 år,Midtjylland,Indvandre og It svindlere,Venstre ledet regering,Ved ikke,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.4049160649
23,20150118,Mand,52,50-59 år,Midtjylland,mulig terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,300.000-399.999 kr.,Venstre,1.1685581640
24,20150115,Kvinde,69,60-69 år,Sjælland,integration,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(I) Liberal Alliance,Ved ikke,(O) Dansk Folkeparti,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.4627153029
29,20150115,Kvinde,64,60-69 år,Syddanmark,terrror,Ved ikke,Ved ikke,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,300.000-399.999 kr.,Venstre,0.3351068263
31,20150115,Kvinde,61,60-69 år,Hovedstaden,Terror,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,800.000-899.999 kr.,Dansk Folkeparti,0.3351068263
36,20150116,Kvinde,68,60-69 år,Syddanmark,"Unge mennesker, som rejser til Syrien, for at deltage i krigen",Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Venstre,0.7809718684
37,20150118,Mand,68,60-69 år,Midtjylland,Islamister,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,Ved ikke,(V) Venstre,Kort videregående 1-2 år,Ingen,200.000-299.999 kr.,Venstre,0.3351068263
39,20150115,Kvinde,67,60-69 år,Sjælland,økonomi,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Vil ikke svare,Vil ikke svare,,Grundskole,Ingen,200.000-299.999 kr.,,0.6919148022
44,20150115,Kvinde,52,50-59 år,Hovedstaden,At det regner hver dag,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,Lang videregående 5 år,Ingen,900.000-999.999 kr.,Venstre,0.5878936963
52,20150115,Kvinde,55,50-59 år,Midtjylland,flygtninge/indvandrer problematik,Venstre ledet regering,Ved ikke,Venstre ledet regering,(V) Venstre,(I) Liberal Alliance,,Mellemlang videregående 3-4 år,Ingen,900.000-999.999 kr.,Liberal Alliance (tidligere Ny Alliance),0.5004694681
57,20150115,Kvinde,70,70 år ++,Syddanmark,"Integration, terror trusler, arbejdsløshed, store offentlige ydelser",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Socialdemokraterne,0.5508827427
63,20150115,Kvinde,52,50-59 år,Hovedstaden,??,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Husker ikke,Stemme blankt,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,1.1268750070
67,20150118,Kvinde,23,18-29 år,Hovedstaden,?,Ved ikke,Ved ikke,Ved ikke,Stemte ikke,Vil ikke stemme,Ved ikke,"Gymnasie, HF eller lignende",Ingen,Vil ikke oplyse,,1.7716388210
71,20150115,Mand,40,40-49 år,Nordjylland,balance mellem god økonomi og social ansvarlighed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(F) Socialistisk Folkeparti - SF,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Ved ikke,Socialistisk Folkeparti - SF,2.7068099224
73,20150115,Mand,58,50-59 år,Nordjylland,Terror,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,1.000.000 kr. eller derover,Socialdemokraterne,0.4786549477
79,20150115,Kvinde,49,40-49 år,Sjælland,Terror,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Ved ikke,(O) Dansk Folkeparti,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Dansk Folkeparti,1.4037094687
80,20150118,Mand,26,18-29 år,Hovedstaden,Utilfredshed om ledelse i Regeringen.,Ved ikke,Ved ikke,Ved ikke,(C) Konservative Folkeparti,Ved ikke,(V) Venstre,Kort videregående 1-2 år,Ingen,100.000-199.999 kr.,Venstre,1.0352730209
85,20150115,Kvinde,75,70 år ++,Midtjylland,At forhindre terror i Danmark,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,1.2982953330
86,20150115,Mand,36,30-39 år,Hovedstaden,"regn, og så er det så koldt uden for",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Venstre,1.3454107918
88,20150115,Kvinde,62,60-69 år,Nordjylland,penge i omløb,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Vil ikke svare,,Mellemlang videregående 3-4 år,Ingen,Ved ikke,,0.3351068263
98,20150118,Kvinde,69,60-69 år,Midtjylland,"At der ikke er arbejde til alle, også dem, der ikke kan præstere fuldt ud",Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Socialdemokraterne,0.3351068263
103,20150115,Mand,63,60-69 år,Hovedstaden,radikale muslimer,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(C) Konservative Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,700.000-799.999 kr.,Konservative Folkeparti,0.5606567702
106,20150118,Mand,42,40-49 år,Hovedstaden,Arbejdesløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(A) Socialdemokraterne,,Kort videregående 1-2 år,1 barn,300.000-399.999 kr.,Socialdemokraterne,0.6880551744
107,20150116,Kvinde,65,60-69 år,Nordjylland,indvandre,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Dansk Folkeparti,0.5335976120
112,20150115,Mand,48,40-49 år,Midtjylland,"Indvandring og måden regeringen ""håndterer"" flygtninge på. Flygtninge skal ikke integreres - skal ikke have fast job - de er flygtninge og skal tilbage til deres eget land så snart det er muligt.",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.9840290126
117,20150115,Kvinde,71,70 år ++,Hovedstaden,Har jeg ikke taget stilling til,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Socialdemokraterne,1.5865165047
121,20150115,Mand,77,70 år ++,Hovedstaden,arbejsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Socialdemokraterne,1.2590380998
122,20150115,Kvinde,61,60-69 år,Hovedstaden,økonomiske,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.6639791520
125,20150116,Mand,44,40-49 år,Sjælland,flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,500.000-599.999 kr.,Venstre,1.9647171747
126,20150115,Kvinde,62,60-69 år,Sjælland,integration/terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(I) Liberal Alliance,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Liberal Alliance (tidligere Ny Alliance),0.3462454190
129,20150115,Mand,78,70 år ++,Midtjylland,Finde beskæftigelse til de arbejdsløse Integrer indvanderne og flygtninge,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,0.9675090648
130,20150115,Kvinde,50,50-59 år,Syddanmark,indvandre,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Dansk Folkeparti,0.3351068263
132,20150118,Mand,70,70 år ++,Midtjylland,for mange uden arbejde,Ved ikke,Ved ikke,Ved ikke,(F) Socialistisk Folkeparti - SF,Ved ikke,(F) Socialistisk Folkeparti - SF,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Socialistisk Folkeparti - SF,0.5134132362
135,20150115,Mand,67,60-69 år,Sjælland,beskæftigelsen,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Vil ikke svare,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Socialdemokraterne,0.6081670469
136,20150118,Kvinde,54,50-59 år,Hovedstaden,Manglende ressourcer på børneområdet,Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,,0.5238675877
138,20150115,Mand,29,18-29 år,Syddanmark,Arbejdsløshed,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Lang videregående 5 år,Ingen,Under 100.000 kr.,Enhedslisten,0.9263442010
139,20150115,Kvinde,56,50-59 år,Hovedstaden,trusler om terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,900.000-999.999 kr.,Dansk Folkeparti,0.3630217896
144,20150116,Kvinde,41,40-49 år,Hovedstaden,forurening,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Grundskole,1 barn,300.000-399.999 kr.,Enhedslisten,3.0464256936
152,20150118,Mand,50,50-59 år,Sjælland,indvandrer,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,Vil ikke oplyse,Dansk Folkeparti,0.6008494488
156,20150116,Kvinde,65,60-69 år,Midtjylland,Arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,200.000-299.999 kr.,Socialdemokraterne,0.8450552356
159,20150115,Kvinde,48,40-49 år,Sjælland,miljø,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,900.000-999.999 kr.,Socialdemokraterne,0.9696917304
161,20150115,Kvinde,32,30-39 år,Hovedstaden,for mange indvandere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Dansk Folkeparti,2.3045743278
162,20150115,Kvinde,75,70 år ++,Nordjylland,og flygtningeøkonomi,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Venstre,0.7069348899
169,20150115,Kvinde,39,30-39 år,Hovedstaden,"For store nedskæringer i den offentlige sektor med forringede forhold for syge, børn og ældre",Ved ikke,Ved ikke,Ved ikke,(F) Socialistisk Folkeparti - SF,Ved ikke,(F) Socialistisk Folkeparti - SF,Mellemlang videregående 3-4 år,2 børn,700.000-799.999 kr.,Socialistisk Folkeparti - SF,2.0254342701
170,20150115,Mand,30,30-39 år,Hovedstaden,Skattepengene bliver ikke brugt fornuftigt,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Enhedslisten,2.9369339722
174,20150116,Kvinde,72,70 år ++,Hovedstaden,"ungdomsarbejdsløsheden/manglende praktikpladser,",Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,1.3823517762
175,20150116,Kvinde,76,70 år ++,Midtjylland,Økonomi Ledelse,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,200.000-299.999 kr.,Venstre,1.6206692504
178,20150115,Kvinde,66,60-69 år,Nordjylland,aner det ikke,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,,0.3351068263
179,20150115,Kvinde,20,18-29 år,Hovedstaden,Mangel på praktikpladaser,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Havde ikke stemmeret,(O) Dansk Folkeparti,,Kort videregående 1-2 år,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.7396606501
180,20150116,Mand,67,60-69 år,Hovedstaden,Tolerence,Ved ikke,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Ved ikke,Vil ikke svare,Kort videregående 1-2 år,Ingen,400.000-499.999 kr.,,0.3351068263
186,20150115,Kvinde,65,60-69 år,Hovedstaden,arbejsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Socialdemokraterne,0.3674431386
190,20150118,Mand,76,70 år ++,Hovedstaden,økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Anden uddannelse,Ingen,Vil ikke oplyse,Konservative Folkeparti,0.8674199165
194,20150115,Mand,21,18-29 år,Midtjylland,"Bureaukratiet. Arbejdslivet lider under de enorme mængder papirarbejde og de alt for stramme retningslinjer, som politikerne påtvinger det.",Ved ikke,Ved ikke,Ved ikke,Stemte blankt,Stemme blankt,(V) Venstre,"Gymnasie, HF eller lignende",Ingen,100.000-199.999 kr.,Venstre,1.7709374337
195,20150115,Kvinde,53,50-59 år,Sjælland,Arbejdsløshed,Ved ikke,Socialdemokratisk ledet regering,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Gymnasie, HF eller lignende",1 barn,Ved ikke,Enhedslisten,0.8780692256
203,20150115,Mand,53,50-59 år,Midtjylland,Aktieuro,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,800.000-899.999 kr.,Venstre,0.3904551865
204,20150115,Mand,51,50-59 år,Nordjylland,"at for mange står uden for fællesskabet, typisk ved ikke at kunne forsøge sig selv",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,Lang videregående 5 år,Ingen,500.000-599.999 kr.,Radikale Venstre,0.8676082767
213,20150115,Mand,66,60-69 år,Syddanmark,moslimer/ tegninger,Ved ikke,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Konservative Folkeparti,0.5826278438
214,20150115,Mand,34,30-39 år,Midtjylland,Forsørgersamfundet,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,Lang videregående 5 år,Ingen,200.000-299.999 kr.,Liberal Alliance (tidligere Ny Alliance),0.9656280055
219,20150115,Mand,54,50-59 år,Syddanmark,ledighed,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(O) Dansk Folkeparti,,Grundskole,Ingen,500.000-599.999 kr.,Dansk Folkeparti,0.7177613011
220,20150116,Mand,34,30-39 år,Sjælland,nedskæringer på børne- og ungdomsområdet,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,2 børn,1.000.000 kr. eller derover,Venstre,0.9103537437
222,20150116,Kvinde,42,40-49 år,Hovedstaden,At der kommer for mange udlægninger illegal ind i Danmark,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,1.000.000 kr. eller derover,Venstre,2.8459376197
223,20150118,Mand,63,60-69 år,Nordjylland,kan ikke tage stilling til,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,Ved ikke,(V) Venstre,Grundskole,Ingen,400.000-499.999 kr.,Venstre,0.9323041776
235,20150115,Kvinde,60,60-69 år,Midtjylland,Manglende vækst,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,700.000-799.999 kr.,Venstre,0.3351068263
238,20150115,Kvinde,21,18-29 år,Sjælland,At komme hlet ud af finanskrisen,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Venstre,1.4590334837
240,20150116,Mand,52,50-59 år,Hovedstaden,ved ikkk,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,2 børn,Vil ikke oplyse,Socialdemokraterne,1.4279775435
248,20150115,Mand,33,30-39 år,Midtjylland,krise med økonomien,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,Ved ikke,Ved ikke,Anden uddannelse,Ingen,Vil ikke oplyse,,1.7423134699
250,20150116,Kvinde,72,70 år ++,Hovedstaden,Ikke tilpassede indvandre,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Vil ikke svare,Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.7262818742
254,20150116,Kvinde,46,40-49 år,Midtjylland,At få økonomien til at række,Ved ikke,Venstre ledet regering,Ved ikke,(V) Venstre,(C) Konservative Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,600.000-699.999 kr.,Konservative Folkeparti,1.6469563862
256,20150115,Mand,80,70 år ++,Midtjylland,økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.5841707991
257,20150115,Mand,74,70 år ++,Sjælland,flygtninge,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.6613085174
258,20150115,Mand,72,70 år ++,Syddanmark,Flygtningeproblematikken,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,Ved ikke,(V) Venstre,Mellemlang videregående 3-4 år,Ingen,600.000-699.999 kr.,Venstre,0.4655512369
260,20150115,Kvinde,71,70 år ++,Sjælland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Kort videregående 1-2 år,Ingen,300.000-399.999 kr.,Socialdemokraterne,0.4477556212
263,20150116,Mand,66,60-69 år,Nordjylland,arbejdspladser flytter til udlandet. stigende antal indvandrer.,Venstre ledet regering,Ved ikke,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,300.000-399.999 kr.,Venstre,0.3351068263
268,20150115,Mand,59,50-59 år,Nordjylland,indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.8649420000
270,20150116,Mand,55,50-59 år,Syddanmark,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,800.000-899.999 kr.,Venstre,1.2659247454
271,20150115,Mand,54,50-59 år,Syddanmark,Arbejløshed,Venstre ledet regering,Venstre ledet regering,Ved ikke,(C) Konservative Folkeparti,Ved ikke,(V) Venstre,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,800.000-899.999 kr.,Venstre,1.0141156728
272,20150115,Mand,53,50-59 år,Hovedstaden,For mange ligegyldige flygtninge,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Kort videregående 1-2 år,Ingen,700.000-799.999 kr.,Socialdemokraterne,0.3711225774
274,20150115,Kvinde,63,60-69 år,Midtjylland,"Den omsiggribende udbredelse af wifi og pulserende mikrobølger, som alle bliver udsat for, uanset om vi ønsker det eller ej.",Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,(Ø) Enhedslisten,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Ved ikke,Enhedslisten,0.6563844005
275,20150116,Kvinde,62,60-69 år,Syddanmark,mennesker der er arbejdsløse og ikke kan komme på arbejdsmarkedet,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,600.000-699.999 kr.,Enhedslisten,0.3351068263
283,20150116,Kvinde,51,50-59 år,Nordjylland,Arbejdsløshed,Socialdemokratisk ledet regering,Venstre ledet regering,Ved ikke,(B) Radikale Venstre,Ved ikke,(B) Radikale Venstre,Kort videregående 1-2 år,1 barn,200.000-299.999 kr.,Radikale Venstre,0.9261176482
287,20150115,Kvinde,71,70 år ++,Sjælland,ældreomsorgen,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Socialdemokraterne,0.5756593656
292,20150119,Kvinde,47,40-49 år,Hovedstaden,Flygtninge og socialt bedrageri,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Lang videregående 5 år,3 børn,900.000-999.999 kr.,Venstre,1.0899456438
294,20150116,Mand,54,50-59 år,Midtjylland,Ved ikke,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,1 barn,900.000-999.999 kr.,Venstre,0.3904551865
298,20150115,Kvinde,66,60-69 år,Syddanmark,arbejdsløsheden,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(O) Dansk Folkeparti,,Grundskole,Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.5527486098
302,20150115,Kvinde,52,50-59 år,Syddanmark,Arbejdsløshed,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,1.1999946982
306,20150117,Mand,72,70 år ++,Sjælland,at få flere i arbejde.,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.4568361299
307,20150117,Mand,39,30-39 år,Syddanmark,Arbejdsløshed,Socialdemokratisk ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,"Gymnasie, HF eller lignende",3 børn,500.000-599.999 kr.,Liberal Alliance (tidligere Ny Alliance),1.9725892005
